Title,Acronym,DblpSeries,has CORE2026 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3,has CORE2023 Rank,has CORE2021 Rank,has CORE2020 Rank,has CORE2018 Rank,has CORE2017 Rank,has CORE2014 Rank,has CORE2013 Rank,has CORE2010 Rank,has CORE2008 Rank
Asia-Pacific Bioinformatics Conference,APBC,apbc,B,"Applied computing, , ",Applied computing,,,B,B,B,B,B,B,B,B,B
Asia-Pacific Computer Human Interaction Conference,APCHI,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,C,C,C,C,C,B
Asia-Pacific Conference on Complex Systems,Complex,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
Asia-Pacific Conference on Conceptual Modelling,APCCM,,Australasian C,"Data management and data science, , ",Data management and data science,,,Australasian C,Australasian C,Australasian C,B,B,B,B,B,
Asia-Pacific Conference on Simulated Evolution and Learning,SEAL,seal,,"Machine learning, , ",Machine learning,,,,,B,B,B,B,B,B,B
Asia-Pacific Forum on Engineering and Technology Education,AFETE,,,"Other Engineering†, , ",Other Engineering†,,,,,,C,C,C,C,C,L
Asia-Pacific Network Operations and Management Symposium,APNOMS,apnoms,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,C,C,C,C,C,C,B
Asia-Pacific Services Computing Conference,APSCC,,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,C,C,C,C,C,C,
Asia-Pacific Software Engineering Conference,APSEC,apsec,C,"Software engineering, , ",Software engineering,,,C,B,B,B,B,B,C,C,B
Asian Computing Science Conference,ASIAN,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,B,B,B,B,B,B
Asian Conference on Computer Vision,ACCV,accv,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,B,B,B,B,B,B,B,B,B
Asian Conference on Intelligent Information and Database Systems,ACIIDS,aciids,B,"Data management and data science, Artificial intelligence, ",Data management and data science,Artificial intelligence,Library and Information Studies†,B,B,Unranked,Unranked,,,,,
Asian Conference on Machine Learning,ACML,acml,C,"Machine learning, , ",Machine learning,,,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,,,
Asian International Mobile Computing Conference,AMOC,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,B
Asian Symposium on Computer Mathematics,ASCM,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Asian-Pacific Conference on Computational Mechanics,APCOM,,,"Civil Engineering†, , ",Civil Engineering†,,,,,,,,,,A,
Asian-Pacific conferences on unsaturated soils,Unsat-Asian,,,"Civil Engineering†, , ",Civil Engineering†,,,,,,,,,,A,
"Asilomar Conference on Signals, Systems and Computing",ACSSC,acssc,National: USA,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: USA,National: USA,National: USA,C,C,C,C,C,L
Aspect-Orientation Asia,AO-Asia,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
Aspect-Oriented Software Development,AOSD,,,"Computer Software†, , ",Computer Software†,,,,,,A,A,A,A,A,A
Association for Computational Linguistics,ACL,acl,A*,"Artificial intelligence, , ",Artificial intelligence,,,A*,A*,A*,A*,A*,A*,A*,A,A*
Association for Computer Aided Design in Architecture (ACADIA) Conference,ACADIA,,,"Architecture†, , ",Architecture†,,,,,,,,,,A,
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,,C,"Applied computing, , ",Applied computing,Design Practice and Management†,Architecture†,C,B,B,B,B,B,B,B,C
Association of Architecture Schools of Australasia Annual Conference (AASA),AASA,,,"Architecture†, , ",Architecture†,,,,,,,,,,C,
Association of Collegiate Schools of Architecture (ACSA) Annual Meeting,ACSA,,,"Architecture†, , ",Architecture†,,,,,,,,,,B,
Association of Researchers in Construction Management Annual Conference,ARCOM,,,"Building†, , ",Building†,,,,,,,,,,A,
Athens Colloquium on Algorithms and Complexity,ACAC,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,
Australasia Conference on Information Security and Privacy,AISP,,,"Information Systems†, , ",Information Systems†,,,,,,Australasian,Australasian,Australasian,Australasian,C,B
Australasian Cognitive Science Society Conference,AuCSS,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australasian Compumod Users' Conference,COMPUMOD,,,"Computer Software†, , ",Computer Software†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australasian Computer Architecture Conference,ACAC,,,"Computer Software†, , ",Computer Software†,,,,,,Australasian,Australasian,Australasian,Australasian,,L
Australasian Computer Music Conference,ACMA,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australasian Computer Science Conference,ACSC,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,Australasian,Australasian,Australasian,Australasian,B,B
Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference),ACSAC,,,", , ",,,,,,,,,,,,B
Australasian Computers in Education Conference,ACEC,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australasian Computing Education Conference (ACE),ACE,ace,,", , ",,,,,,,,,,,,B
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,,Australasian C,"Theory of computation, , ",Theory of computation,,,Australasian C,Australasian C,Australasian C,Australasian,Australasian,Australasian,Australasian,C,L
Australasian Conference on Information Security and Privacy,ACISP,acisp,Australasian B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,Australasian B,Australasian B,Australasian B,Australasian,Australasian,Australasian,Australasian,B,B
Australasian Conference on Information Systems,ACIS,,,"Information Systems†, , ",Information Systems†,,,,,,Australasian,Australasian,Australasian,Australasian,A,B
Australasian Conference on Parallel and Real-Time Systems,APRTS,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australasian Conference on Pattern Languages of Programs,KoalaPLoP,,,"Computer Software†, , ",Computer Software†,,,,,,Australasian,Australasian,Australasian,Australasian,C,
Australasian Conference on Robotics and Automation,ACRA,,Australasian C,"Artificial intelligence, Computer vision and multimedia computation, ",Artificial intelligence,Computer vision and multimedia computation,,Australasian C,Australasian C,Australasian C,Australasian,Australasian,Australasian,Australasian,B,B
Australasian Database Conference,ADC,adc,Australasian B,"Data management and data science, , ",Data management and data science,,,Australasian B,Australasian B,Australasian B,Australasian,Australasian,Australasian,Australasian,B,B
Australasian Document Computing Symposium,ADCS,adcs,Australasian B,"Data management and data science, , ",Data management and data science,,,Australasian B,Australasian B,Australasian B,Australasian,Australasian,Australasian,Australasian,,B
Australasian Housing Researchers Conference,AHRC,,,"Urban and Regional Planning†, , ",Urban and Regional Planning†,,,,,,,,,,A,
Australasian Information Security Conference,AISC,auisc,Australasian C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,Australasian C,Australasian B,Australasian B,Australasian,Australasian,Australasian,Australasian,B,
Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies),AISW-PET,,,"Computer Software†, , ",Computer Software†,,,,,,Australasian,Australasian,Australasian,Australasian,C,
Australasian Joint Conference on Artificial Intelligence,AI,ausai,Australasian B,"Artificial intelligence, Machine learning, Computer vision and multimedia computation",Artificial intelligence,Machine learning,Computer vision and multimedia computation,Australasian B,Australasian B,Australasian B,Australasian,Australasian,,,B,
Australasian Language Technology Workshop,ALTA,acl-alta,Australasian C,"Artificial intelligence, , ",Artificial intelligence,,,Australasian C,Australasian B,Australasian B,Australasian,Australasian,Australasian,Australasian,,B
Australasian Refinement Workshop,AuRW,,,"Computer Software†, , ",Computer Software†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australasian Remote Sensing Conference,ARSC,,,", , ",,,,,,,Australasian,Australasian,Australasian,Australasian,,L
Australasian Remote Sensing Conference and Photogrammetry Conference,ARSPC,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,C,
Australasian Speech Science and Technology,SST,,Australasian C,"Artificial intelligence, , ",Artificial intelligence,,,Australasian C,Australasian C,Australasian C,Australasian,Australasian,Australasian,Australasian,B,B
Australasian Symposium on Grid Computing and e-Research (now AusPDC),AusGrid,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,Australasian,Australasian,Australasian,Australasian,C,
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,,Australasian C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,Australasian C,Australasian C,Australasian C,Australasian,Australasian,Australasian,Australasian,C,
Australasian Transport Research Forum,ATRF,,,"Urban and Regional Planning†, Civil Engineering†, ",Urban and Regional Planning†,Civil Engineering†,,,,,,,,,A,
Australasian Urban and Regional Information Systems Association Conference,AURISA,,,"Information Systems†, , ",Information Systems†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australasian User Interface Conference,AUIC,,,"Information Systems†, , ",Information Systems†,,,,,,Australasian,Australasian,Australasian,Australasian,B,B
Australasian Women in Computing Workshop,WIC,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australasian Workshop on Combinatorial Algorithms,AWOCA,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,Australasian,Australasian,Australasian,Australasian,B,L
Australasian Workshop on Health Data and Knowledge Management,HDKM,,,"Data Format†, , ",Data Format†,,,,,,Australasian,Australasian,Australasian,Australasian,B,
Australian Computer Human Interaction Conference,OZCHI,ozchi,Australasian B,"Human-centred computing, , ",Human-centred computing,Design Practice and Management†,,Australasian B,Australasian B,Australasian B,Australasian,Australasian,Australasian,Australasian,B,B
Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,Australasian,Australasian,Australasian,Australasian,B,L
Australian Conference on Artificial Life and Computational Intelligence,ACALCI,acalci,,"Artificial intelligence, , ",Artificial intelligence,,,,,Australasian B,Australasian,Australasian,Australasian,Australasian,B,B
Australian Conference on Mathematics and Computers in Sport,MCSpo,,,", , ",,,,,,,Australasian,Australasian,Australasian,Australasian,,L
Australian Conference on Neural Networks,ACNN,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australian Conference on Software Metrics,ACOSM,,,"Computer Software†, , ",Computer Software†,,,,,,Australasian,Australasian,Australasian,Australasian,C,B
Australian Data Mining Conference,AusDM,ausdm,Australasian C,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,,Australasian C,Australasian B,Australasian B,Australasian,Australasian,Australasian,Australasian,B,B
Australian Game Developers Conference,AGDC,,,"Information Systems†, , ",Information Systems†,,,,,,Australasian,Australasian,Australasian,Australasian,C,
Australian Information Security Management Conference,ISM,,,"Data Format†, , ",Data Format†,,,,,,,,,,B,
Australian Information Warfare and Security Conference,WarSec,,,"Information Systems†, , ",Information Systems†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australian Institute of Building Surveyors International Refereed Conference,AIBS,,,"Building†, , ",Building†,,,,,,,,,,B,
Australian Institute of Computer Ethics Conference,AICE,,Australasian C,"Human-centred computing, , ",Human-centred computing,,,Australasian C,Australasian C,Australasian C,Australasian,Australasian,Australasian,Australasian,C,L
Australian Institute of Computer Ethics Conference,AICEC,,,", , ",,,,,,,Australasian,Australasian,Australasian,Australasian,,Australasian
Australian Joint Conference on Artificial Intelligence,AusAI,ausai,,", , ",,,,,,,Australasian,Australasian,Australasian,Australasian,,B
Australian Knowledge Acquisition Workshop,AKAW,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australian MADYMO Users Meeting,MADYMO,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australian MATLAB Conference,MATLAB,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Australian Pattern Recognition Society Conference,DICTA,,,", , ",,,,,,,,Australasian,Australasian,Australasian,,B
Australian Software Engineering Conference,ASWEC,aswec,,"Software engineering, , ",Software engineering,,,,,Australasian B,Australasian,Australasian,Australasian,Australasian,B,B
Australian Supercomputing Conference,ACS,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,Australasian,Australasian,Australasian,Australasian,C,B
